Requirement ID,Category,Priority,Description,Test Cases,Test Level,HLD Section,Source Code,Verification Method,Status,Last Verified,Notes
FR-101,Radio Reception,HIGH,"Receive and decode 1090 MHz ADS-B Extended Squitter messages",,,"4.1.1, 5.1","main/sdr.go",Test,Not Started,,DO-260B compliance
FR-102,Radio Reception,HIGH,"Receive and decode 978 MHz UAT messages containing traffic and weather",,,"4.1.2, 5.1","main/sdr.go",Test,Not Started,,DO-282B compliance
FR-103,Radio Reception,MEDIUM,"Receive and decode 868 MHz OGN/FLARM messages",,,"4.1.3, 5.1","main/ogn.go",Test,Not Started,,
FR-104,Radio Reception,LOW,"Optionally receive and decode 162 MHz marine AIS messages",,,"4.1.4, 5.1","main/ais.go",Test,Not Started,,
FR-105,Radio Reception,HIGH,"Automatically detect and configure RTL-SDR devices",,,"4.1, 5.1","main/sdr.go",Test,Not Started,,
FR-201,GPS Subsystem,CRITICAL,"Acquire and maintain GPS position fix",,,"4.2, 5.2","main/gps.go",Test,Not Started,,
FR-202,GPS Subsystem,HIGH,"Support multiple GPS receiver types (u-blox, Prolific, Generic NMEA, Network NMEA, OGN Tracker)",,,"4.2, 5.2","main/gps.go",Test,Not Started,,
FR-203,GPS Subsystem,MEDIUM,"Configure GPS receivers for aviation use (Airborne <4g model, SBAS/WAAS, 10 Hz, power mgmt)",,,"4.2, 5.2","main/gps.go",Test,Not Started,,
FR-204,GPS Subsystem,CRITICAL,"Validate GPS data before use (fix quality, HDOP, satellites, sanity checks)",,,"4.2, 5.2","main/gps.go",Test,Not Started,,
FR-205,GPS Subsystem,HIGH,"Report GPS status to users (fix type, satellites, accuracy, timestamp, device type)",,,"4.2, 5.2","main/gps.go",Test,Not Started,,
FR-301,AHRS Subsystem,MEDIUM,"Optionally support AHRS sensors (MPU-9250/9255, MPU-6500, ICM-20948, BMP-280/388)",,,"4.3, 5.3","main/sensors.go",Test,Not Started,,
FR-302,AHRS Subsystem,MEDIUM,"Provide attitude data when AHRS sensors available (roll, pitch, heading, turn rate, slip/skid, G-load)",,,"4.3, 5.3","main/sensors.go",Test,Not Started,,
FR-303,AHRS Subsystem,HIGH,"Provide barometric pressure altitude (relative to 29.92"" Hg, vertical speed, temperature compensated)",,,"4.3, 5.3","main/sensors.go",Test,Not Started,,
FR-304,AHRS Subsystem,MEDIUM,"Support AHRS sensor calibration (magnetometer, accelerometer, persistent storage, status)",,,"4.3, 5.3","main/sensors.go",Test,Not Started,,
FR-305,AHRS Subsystem,CRITICAL,"Mark AHRS data as advisory only (GDL90 indicator, Web UI warning, documentation disclaimer)",,,"4.3, 5.3","main/sensors.go, main/managementinterface.go",Inspection,Not Started,,Safety requirement
FR-401,Traffic Fusion,HIGH,"Fuse traffic from multiple sources (1090ES, UAT, OGN, AIS) with duplicate suppression",,,"4.4.1, 5.4","main/traffic.go",Test,Not Started,,
FR-402,Traffic Fusion,HIGH,"Extrapolate traffic positions between updates (dead reckoning, max 10s, indication, aging)",TestExtrapolateTraffic_ValidHeading,Unit,"4.4.2, 5.4","main/traffic.go",Test,In Progress,2025-10-13,Test exists but needs more cases
FR-403,Traffic Fusion,CRITICAL,"Detect and filter ownship from traffic display (position-based, ICAO-based, altitude correlation)",TestIsOwnshipICAO_Match,Unit,"4.4.3, 5.4","main/traffic.go",Test,In Progress,2025-10-13,Test exists but needs more cases
FR-404,Traffic Fusion,HIGH,"Calculate traffic relative position to ownship (distance, bearing, relative altitude, vertical rate)",,,"4.4.4, 5.4","main/traffic.go",Test,Not Started,,
FR-405,Traffic Fusion,MEDIUM,"Estimate range using signal strength for Mode-S traffic without position",,,"4.4, 5.4","main/traffic.go",Test,Not Started,,
FR-406,Traffic Fusion,LOW,"Convert ICAO addresses to registration numbers (US N-numbers, Canada C-numbers, Australia VH-numbers)","TestIcao2reg_USCivil, TestIcao2reg_Canada, TestIcao2reg_Australia",Unit,"4.4, 5.4","main/traffic.go",Test,Passed,2025-10-13,10 test cases implemented
FR-407,Traffic Fusion,HIGH,"Alert on proximate traffic (<2 nm horizontal, <±500 ft vertical)","TestIsTrafficAlertable_WithinRange, TestIsTrafficAlertable_OutsideRange, TestIsTrafficAlertable_NoBearing",Unit,"4.4.5, 5.4","main/traffic.go",Test,Passed,2025-10-13,3 test cases implemented
FR-501,Weather Processing,HIGH,"Receive and decode FIS-B weather products from UAT (NEXRAD, METAR, TAF, Winds, PIREPs, etc)",,,"4.5, 5.5","main/weather.go",Test,Not Started,,AC 00-63 compliance
FR-502,Weather Processing,MEDIUM,"Manage weather product lifecycle (15 min retention, auto-purge, timestamp, product type)",,,"4.5, 5.5","main/weather.go",Test,Not Started,,
FR-503,Weather Processing,LOW,"Optionally filter weather by geographic region (NEXRAD blocks, configurable)",,,"4.5, 5.5","main/weather.go",Test,Not Started,,
FR-601,GDL90 Output,CRITICAL,"Output data in GDL90 format per FAA specification (framing, CRC, byte stuffing, message IDs)",,,"4.6.1, 5.6","main/gen_gdl90.go",Test,Not Started,,GDL90 ICD compliance
FR-602,GDL90 Output,CRITICAL,"Transmit GDL90 heartbeat every 1.0 ±0.1 seconds (ID 0x00, GPS/UAT status, timestamp)",,,"4.6.2, 5.6","main/gen_gdl90.go",Test,Not Started,,
FR-603,GDL90 Output,HIGH,"Transmit ownship position when GPS valid (ID 0x0A/0x0B, position accuracy, velocity)",,,"4.6.3, 5.6","main/gen_gdl90.go",Test,Not Started,,
